元表記,出現頻度,正規化後,url,タイプ,チェック,正規化（変更案）,url（変更案）,タイプ
大橋,42,大橋,https://ja.wikipedia.org/wiki/大橋,Keyword,要確認,,,
地震及世態漫画集,41,地震及世態漫画集,,,,,,
徳川慶喜,40,徳川慶喜,https://ja.wikipedia.org/wiki/徳川慶喜,Person,OK,,,
広重画,40,広重画,,,,,,
画,39,画,https://ja.wikipedia.org/wiki/画,Keyword,NG,,,
仙台,39,仙台,https://ja.wikipedia.org/wiki/仙台,Keyword,OK,,,
庄内,39,庄内,https://ja.wikipedia.org/wiki/庄内,Keyword,OK,,,
疾病,37,病気,https://ja.wikipedia.org/wiki/病気,Keyword,OK,,,
衛生,37,衛生,https://ja.wikipedia.org/wiki/衛生,Keyword,OK,,,
子供絵,36,子供絵,https://ja.wikipedia.org/wiki/子供絵,Keyword,OK,,,
藤堂,36,藤堂氏,https://ja.wikipedia.org/wiki/藤堂氏,Keyword,OK,,,
文久麻疹流行漫画集,36,文久麻疹流行漫画集,,,,,,
麻疹,35,麻疹,https://ja.wikipedia.org/wiki/麻疹,Keyword,OK,,,
雲峰散人筆記,32,雲峰散人筆記,,,,,,
雲峰散人,31,雲峰散人,,,,,,
彦根,30,彦根市,https://ja.wikipedia.org/wiki/彦根市,Place,OK,,,
尊皇攘夷,27,尊王攘夷,https://ja.wikipedia.org/wiki/尊王攘夷,Keyword,OK,,,
和宮,27,和宮親子内親王,https://ja.wikipedia.org/wiki/和宮親子内親王,Person,要確認,,,
一魁斎芳年筆,27,一魁斎芳年筆,,,,,,
五雲亭貞秀画,27,五雲亭貞秀画,,,,,,
桜田門外の変,26,桜田門外の変,https://ja.wikipedia.org/wiki/桜田門外の変,Keyword,変更,,,Event
その他,24,その他,https://ja.wikipedia.org/wiki/その他,Keyword,NG,,,
加賀,24,加賀,https://ja.wikipedia.org/wiki/加賀,Keyword,OK,,,
二代目,24,二代目,,,,,,
天璋院,23,天璋院,https://ja.wikipedia.org/wiki/天璋院,Person,OK,,,
築地,23,築地,https://ja.wikipedia.org/wiki/築地,Place,OK,,,
近世義勇伝,23,近世義勇伝,,,,,,
桑名,22,桑名,https://ja.wikipedia.org/wiki/桑名,Keyword,変更,桑名藩,https://ja.wikipedia.org/wiki/桑名藩,Place
大金,22,大金,https://ja.wikipedia.org/wiki/大金,Keyword,OK,,,
京都下加茂糺の森勝景外二十一種,22,京都下加茂糺の森勝景外二十一種,,,,,,
一魁斎芳年筆印,21,一魁斎芳年筆印,,,,,,
世直し,21,世直し一揆,https://ja.wikipedia.org/wiki/世直し一揆,Keyword,OK,,,
辰十改,19,辰十改,,,,,,
西,17,西,https://ja.wikipedia.org/wiki/西,Keyword,NG,,,
東,17,東,https://ja.wikipedia.org/wiki/東,Keyword,NG,,,
広重,17,歌川広重,https://ja.wikipedia.org/wiki/歌川広重,Person,OK,,,
加藤寧蔭蔵板,17,加藤寧蔭蔵板,,,,,,
紀州,16,紀州,https://ja.wikipedia.org/wiki/紀州,Keyword,変更,紀州藩,https://ja.wikipedia.org/wiki/紀州藩,Place
応需広重,16,応需広重,,,,,,
文久２年,16,文久２年,,,,,,
-18620550550,16,-18620550550,,,,,,
二代,16,二代,,,,,,
一英斎芳艶画,15,一英斎芳艶画,,,,,,
ええじゃないか,15,ええじゃないか,https://ja.wikipedia.org/wiki/ええじゃないか,Keyword,変更,,,Event
天皇東幸,15,天皇東幸,,,,,,
名所図絵,15,名所図絵,,,,,,
蔦屋吉蔵,14,蔦屋吉蔵,https://ja.wikipedia.org/wiki/蔦屋吉蔵,Keyword,OK,,,
戯び,14,戯び,,,,,,
生麦事件,14,生麦事件,https://ja.wikipedia.org/wiki/生麦事件,Keyword,OK,,,
も同一,14,も同一,,,,,,
米沢,14,米沢,https://ja.wikipedia.org/wiki/米沢,Keyword,変更,米沢藩,https://ja.wikipedia.org/wiki/米沢藩,Place
金融,14,金融,https://ja.wikipedia.org/wiki/金融,Keyword,OK,,,
伊勢屋兼吉,14,伊勢屋兼吉,https://ja.wikipedia.org/wiki/伊勢屋兼吉,Keyword,OK,,,
明治元年９月(18680090550),14,明治元年９月(18680090550),,,,,,
辰九改,14,辰九改,,,,,,
立祥画,14,立祥画,,,,,,
蔦吉板,14,蔦吉板,,,,,,
慶応３年１２月(18670120550),13,慶応３年１２月(18670120550),,,,,,
卯十二改,13,卯十二改,,,,,,
文久３年５月(18630050550),13,文久３年５月(18630050550),,,,,,
亥五改,13,亥五改,,,,,,
明治元年８月(18680080550),13,明治元年８月(18680080550),,,,,,
辰八改,13,辰八改,,,,,,
芳虎画,13,芳虎画,,,,,,
伊勢兼,13,伊勢屋兼吉,https://ja.wikipedia.org/wiki/伊勢屋兼吉,Keyword,OK,,,
元治元年２月(18640020550),13,元治元年２月(18640020550),,,,,,
子二改,13,子二改,,,,,,
下谷,13,下谷,https://ja.wikipedia.org/wiki/下谷,Place,変更,,,Place
三代,13,三代,https://ja.wikipedia.org/wiki/三代,Keyword,NG,,,
横浜,13,横浜,https://ja.wikipedia.org/wiki/横浜,Keyword,OK,,,
天皇再幸,12,天皇再幸,,,,,,
戌四改,12,戌四改,,,,,,
近世人物誌,12,近世人物誌,,,,,,
やまと新聞社,12,やまと新聞社,https://ja.wikipedia.org/wiki/やまと新聞社,Keyword,OK,,,
京橋区尾張町２丁目１,12,京橋区尾張町２丁目１,,,,,,
文久３年４月カ(18630040551),11,文久３年４月カ(18630040551),,,,,,
？,11,？,,,,,,
江戸開城,11,江戸開城,https://ja.wikipedia.org/wiki/江戸開城,Keyword,変更,,,Event
片田彫長,11,片田彫長,,,,,,
文久２年４月(18620040550),11,文久２年４月(18620040550),,,,,,
明治元年1０月(18680550550),11,明治元年1０月(18680550550),,,,,,
大阪,11,大阪,https://ja.wikipedia.org/wiki/大阪,Keyword,変更,,,Place
安政大獄,10,安政大獄,,,,,,
物価,10,物価,https://ja.wikipedia.org/wiki/物価,Keyword,OK,,,Person
文久３年８月(18630080550),10,文久３年８月(18630080550),,,,,,
亥八改,10,亥八改,,,,,,
辻岡屋文助,10,辻岡文助,https://ja.wikipedia.org/wiki/辻岡文助,Keyword,OK,,,
芳盛画,10,芳盛画,,,,,,
相模屋藤吉,10,相模屋藤吉,,,,,,
相ト,10,相ト,https://ja.wikipedia.org/wiki/相ト,Keyword,OK,,,
京都,10,京都,https://ja.wikipedia.org/wiki/京都,Keyword,変更,,,Place
彫工円活,10,彫工円活,,,,,,
当世武勇伝,10,当世武勇伝,,,,,,
花陽楼国員画印,10,花陽楼国員画印,,,,,,
川伝,10,川伝,,,,,,
阿波,9,阿波,https://ja.wikipedia.org/wiki/阿波,Keyword,OK,,,Person
明治天皇,9,明治天皇,https://ja.wikipedia.org/wiki/明治天皇,Keyword,変更,,,
芸州,9,安芸国,https://ja.wikipedia.org/wiki/安芸国,Keyword,OK,,,
幕府陸軍,9,幕府陸軍,https://ja.wikipedia.org/wiki/幕府陸軍,Keyword,OK,,,
一雄斎国輝画,9,一雄斎国輝画,,,,,,
雷神,9,雷神,https://ja.wikipedia.org/wiki/雷神,Keyword,OK,,,
明治７年９月(18740090550),9,明治７年９月(18740090550),,,,,,
戌九,9,戌九,,,,,,
明治７年９月,9,明治７年９月,,,,,,
-18740090550,9,-18740090550,,,,,,
徳川家茂,8,徳川家茂,https://ja.wikipedia.org/wiki/徳川家茂,Person,OK,,,
肥後,8,肥後,https://ja.wikipedia.org/wiki/肥後,Keyword,変更,肥後国,https://ja.wikipedia.org/wiki/肥後国,
大垣,8,大垣市,https://ja.wikipedia.org/wiki/大垣市,City,OK,,,
慶応期カ(55550550551),8,慶応期カ(55550550551),,,,,,
０３８０－１３－,8,０３８０－１３－,,,,,,
と同一,8,と同一,,,,,,
佐竹,8,佐竹,https://ja.wikipedia.org/wiki/佐竹,Keyword,変更,佐竹氏,https://ja.wikipedia.org/wiki/佐竹氏,
拳,8,拳,https://ja.wikipedia.org/wiki/拳,Keyword,変更,拳遊び,https://ja.wikipedia.org/wiki/拳遊び,
一光斎芳盛画,8,一光斎芳盛画,,,,,,
暦,8,暦,https://ja.wikipedia.org/wiki/暦,Keyword,OK,,,
有卦絵,8,有卦絵,https://ja.wikipedia.org/wiki/有卦絵,Keyword,OK,,,
明治元年１０月(18680100550),8,明治元年１０月(18680100550),,,,,,
仮宅,8,仮宅,,,,,,
鹿島大明神,8,鹿島神宮,https://ja.wikipedia.org/wiki/鹿島神宮,Place,OK,,,
文久２年７月(18620070550),8,文久２年７月(18620070550),,,,,,
箕輪其村画,8,箕輪其村画,,,,,,
辻文版,8,辻文版,,,,,,
文久３年？(18630550552),8,文久３年？(18630550552),,,,,,
安政５年,7,安政５年,,,,,,
-18580550550,7,-18580550550,,,,,,
角本屋金次郎,7,角本屋金次郎,,,,,,
角金,7,角金,,,,,,
首引,7,首引,,,,,,
姫路,7,姫路,https://ja.wikipedia.org/wiki/姫路,Keyword,変更,姫路藩,https://ja.wikipedia.org/wiki/姫路藩,Place
多吉,7,多吉,,,,,,
村松,7,村松,https://ja.wikipedia.org/wiki/村松,Keyword,変更,村松藩,https://ja.wikipedia.org/wiki/村松藩,Place
遠州屋彦兵衛,7,遠州屋彦兵衛,https://ja.wikipedia.org/wiki/遠州屋彦兵衛,Keyword,OK,,,
遠彦,7,遠州屋彦兵衛,https://ja.wikipedia.org/wiki/遠州屋彦兵衛,Keyword,OK,,,
護符,7,お守り,https://ja.wikipedia.org/wiki/お守り,Keyword,OK,,,
雲峰山人,7,雲峰山人,,,,,,
明治元年９月カ(18680090551),7,明治元年９月カ(18680090551),,,,,,
吉原,7,吉原,https://ja.wikipedia.org/wiki/吉原,Keyword,OK,,,
戌七改,7,戌七改,,,,,,
箕輪芳艶画,7,箕輪芳艶画,,,,,,
宝井琴凌,7,宝井琴凌,,,,,,
応需七十八歳豊国筆,7,応需七十八歳豊国筆,,,,,,
丸屋甚八,7,丸屋甚八,https://ja.wikipedia.org/wiki/丸屋甚八,Keyword,OK,,,
芳年,7,月岡芳年,https://ja.wikipedia.org/wiki/月岡芳年,Person,OK,,,
６枚続,7,６枚続,,,,,,
池の端通仲町,6,池の端通仲町,,,,,,
正方形,6,正方形,https://ja.wikipedia.org/wiki/正方形,Keyword,OK,,,
尽しでシリーズ,6,尽しでシリーズ,,,,,,
附箋,6,附箋,,,,,,
歌重,6,歌重,,,,,,
丸屋平次郎,6,丸屋平次郎,https://ja.wikipedia.org/wiki/丸屋平次郎,Keyword,OK,,,
丸平,6,丸平,,,,,,
四天王鬼賊退治,6,四天王鬼賊退治,,,,,,
0380-17-1-(34),6,0380-17-1-(34),,,,,,
木屋作太郎,6,木屋作太郎,,,,,,
太田屋多吉,6,太田屋多吉,,,,,,
読売り,6,読売り,,,,,,
大村,6,大村,https://ja.wikipedia.org/wiki/大村,Keyword,要確認,,,
明治元年７月(18680070550),6,明治元年７月(18680070550),,,,,,
元治元年３月(18640030550),6,元治元年３月(18640030550),,,,,,
子三改,6,子三改,,,,,,
士族反乱,6,士族反乱,https://ja.wikipedia.org/wiki/士族反乱,Event,OK,,,
日本橋,6,日本橋,https://ja.wikipedia.org/wiki/日本橋,Keyword,OK,,,
文明開化,6,文明開化,https://ja.wikipedia.org/wiki/文明開化,Keyword,OK,,,
仏教,6,仏教,https://ja.wikipedia.org/wiki/仏教,Keyword,OK,,,
芳年筆印,6,芳年筆印,,,,,,
火事,6,火災,https://ja.wikipedia.org/wiki/火災,Keyword,OK,,,
女性,6,女性,https://ja.wikipedia.org/wiki/女性,Keyword,OK,,,
ダルマ,6,ダルマ,https://ja.wikipedia.org/wiki/ダルマ,Keyword,変更,だるま,https://ja.wikipedia.org/wiki/だるま,
国綱,6,国綱,,,,,,
画中に,6,画中に,,,,,,
開港,6,開港,https://ja.wikipedia.org/wiki/開港,Keyword,OK,,,
国芳,5,歌川国芳,https://ja.wikipedia.org/wiki/歌川国芳,Person,OK,,,
上州屋金蔵,5,上州屋金蔵,https://ja.wikipedia.org/wiki/上州屋金蔵,Keyword,OK,,,
一勇斎国芳戯画,5,一勇斎国芳戯画,,,,,,
三代目広重,5,三代目広重,,,,,,
明治元年閏４月(18680045550),5,明治元年閏４月(18680045550),,,,,,
古賀屋勝五郎,5,古賀屋勝五郎,https://ja.wikipedia.org/wiki/古賀屋勝五郎,Keyword,OK,,,
三代目,5,三代目,,,,,,
０３８０－１７－２－,5,０３８０－１７－２－,,,,,,
南部,5,南部,https://ja.wikipedia.org/wiki/南部,Keyword,要確認,,,
文久３年カ(18630550551),5,文久３年カ(18630550551),,,,,,
明治元年５月(18680050550),5,明治元年５月(18680050550),,,,,,
辰五改,5,辰五改,,,,,,
応需周麿,5,応需周麿,,,,,,
大津絵,5,大津絵,https://ja.wikipedia.org/wiki/大津絵,Keyword,OK,,,
すねおし,5,すねおし,,,,,,
大工,5,大工,https://ja.wikipedia.org/wiki/大工,Keyword,OK,,,
田安,5,田安,https://ja.wikipedia.org/wiki/田安,Keyword,変更,田安徳川家,https://ja.wikipedia.org/wiki/田安徳川家,
二本松,5,二本松,https://ja.wikipedia.org/wiki/二本松,Keyword,変更,二本松藩,https://ja.wikipedia.org/wiki/二本松藩,
西南戦争,5,西南戦争,https://ja.wikipedia.org/wiki/西南戦争,Event,OK,,,
米良,5,米良,,,,,,
村田,5,村田,https://ja.wikipedia.org/wiki/村田,Keyword,要確認,,,
まじない,5,魔術,https://ja.wikipedia.org/wiki/魔術,Keyword,OK,,,
辰十二改,5,辰十二改,,,,,,
葛飾畑守,5,葛飾畑守,,,,,,
辰十一改,5,辰十一改,,,,,,
辰七改,5,辰七改,,,,,,
芳年筆,5,芳年筆,,,,,,
御座船,5,御座船,https://ja.wikipedia.org/wiki/御座船,Keyword,OK,,,
禁物,5,禁物,,,,,,
佐野屋富五郎,5,佐野屋富五郎,https://ja.wikipedia.org/wiki/佐野屋富五郎,Keyword,OK,,,
加藤寧蔭蔵版,5,加藤寧蔭蔵版,,,,,,
筆,5,筆,https://ja.wikipedia.org/wiki/筆,Keyword,OK,,,
国貞,5,国貞,https://ja.wikipedia.org/wiki/国貞,Keyword,変更,歌川国貞,https://ja.wikipedia.org/wiki/歌川国貞,
彫太田多七,5,彫太田多七,,,,,,
東海道　吉原,5,東海道　吉原,,,,,,
0380-15-(24),5,0380-15-(24),,,,,,
吉原乃風景,5,吉原乃風景,,,,,,
大井川,5,大井川,https://ja.wikipedia.org/wiki/大井川,Place,OK,,,
文久３年２月(18630020550),5,文久３年２月(18630020550),,,,,,
亥二改,5,亥二改,,,,,,
大黒,5,大黒,https://ja.wikipedia.org/wiki/大黒,Keyword,OK,,,
上金,4,上金,,,,,,
井伊直弼,4,井伊直弼,https://ja.wikipedia.org/wiki/井伊直弼,Person,OK,,,
安政５年４月(18580040550),4,安政５年４月(18580040550),,,,,,
辰閏改,4,辰閏改,,,,,,
芳盛戯画,4,芳盛戯画,,,,,,
化物,4,お化け,https://ja.wikipedia.org/wiki/お化け,Keyword,OK,,,
王政復古,4,王政復古,https://ja.wikipedia.org/wiki/王政復古,Keyword,変更,王政復古 (日本),https://ja.wikipedia.org/wiki/王政復古_(日本),
岡山,4,岡山,https://ja.wikipedia.org/wiki/岡山,Keyword,変更,岡山藩,https://ja.wikipedia.org/wiki/岡山藩,Place
越嘉,4,越嘉,,,,,,
貨幣,4,貨幣,https://ja.wikipedia.org/wiki/貨幣,Keyword,OK,,,
山本屋平吉,4,山本屋平吉,https://ja.wikipedia.org/wiki/山本屋平吉,Keyword,OK,,,
輪王寺宮,4,東叡大王,https://ja.wikipedia.org/wiki/東叡大王,Keyword,OK,,,
芳藤,4,芳藤,,,,,,
当物,4,当物,,,,,,
文久３年６月(18630060550),4,文久３年６月(18630060550),,,,,,
亥六改,4,亥六改,,,,,,
車力,4,車力,https://ja.wikipedia.org/wiki/車力,Keyword,OK,,,
左官,4,左官,https://ja.wikipedia.org/wiki/左官,Keyword,OK,,,
屋根屋,4,屋根屋,,,,,,
文久３年３月(18630030550),4,文久３年３月(18630030550),,,,,,
有栖川,4,有栖川,https://ja.wikipedia.org/wiki/有栖川,Keyword,変更,有栖川宮,https://ja.wikipedia.org/wiki/有栖川宮,
０３８０－１７－１－,4,０３８０－１７－１－,,,,,,
不明版元菱形善字印,4,不明版元菱形善字印,,,,,,
正文堂,4,正文堂,,,,,,
福,4,福,https://ja.wikipedia.org/wiki/福,Keyword,OK,,,
為朝大明神,4,為朝大明神,,,,,,
奪衣婆,4,奪衣婆,https://ja.wikipedia.org/wiki/奪衣婆,Keyword,OK,,,
明治元年1２月(18680020550),4,明治元年1２月(18680020550),,,,,,
川崎,4,川崎,https://ja.wikipedia.org/wiki/川崎,Keyword,変更,,,Place
神奈川,4,神奈川,https://ja.wikipedia.org/wiki/神奈川,Keyword,変更,,,Place
大磯,4,大磯町,https://ja.wikipedia.org/wiki/大磯町,City,OK,,,Place
魁斎芳年筆,4,魁斎芳年筆,,,,,,
箱根,4,箱根,https://ja.wikipedia.org/wiki/箱根,Keyword,変更,,,
常夜灯,4,常夜灯,https://ja.wikipedia.org/wiki/常夜灯,Keyword,OK,,,
吉田,4,吉田,https://ja.wikipedia.org/wiki/吉田,Keyword,要確認,,,
石薬師,4,石薬師,,,,,,
坂ノ下,4,坂ノ下_(鎌倉市),https://ja.wikipedia.org/wiki/坂ノ下_(鎌倉市),Place,OK,,,
土山,4,土山,,,,,,
０３８０－１２－,4,０３８０－１２－,,,,,,
辻君,4,遊女,https://ja.wikipedia.org/wiki/遊女,Keyword,OK,,,
大津絵節,4,大津絵節,,,,,,
単色,4,単色光,https://ja.wikipedia.org/wiki/単色光,Keyword,OK,,,
単色摺物,4,単色摺物,,,,,,
赤色のみ,4,赤色のみ,,,,,,
伊藤燕国,4,伊藤燕国,,,,,,
木村屋定五郎,4,木村屋定五郎,,,,,,
上州屋,4,上州屋,https://ja.wikipedia.org/wiki/上州屋,Organization,NG,,,
丸屋鉄次郎,4,小林鉄次郎_(地本問屋),https://ja.wikipedia.org/wiki/小林鉄次郎_(地本問屋),Keyword,OK,,,
通二,4,通二,,,,,,
一魁斎芳年画,4,一魁斎芳年画,,,,,,
越平,4,越平,,,,,,
鍵屋庄兵衛,4,鍵屋庄兵衛,https://ja.wikipedia.org/wiki/鍵屋庄兵衛,Keyword,OK,,,
鍵庄,4,鍵庄,,,,,,
菊屋市兵衛,4,菊屋市兵衛,https://ja.wikipedia.org/wiki/菊屋市兵衛,Keyword,OK,,,
菊市板,4,菊市板,,,,,,
海老屋林之助,4,海老屋林之助,https://ja.wikipedia.org/wiki/海老屋林之助,Keyword,OK,,,
丸甚板,4,丸甚板,,,,,,
一蘭斎国綱画,4,一蘭斎国綱画,,,,,,
了古,4,了古,,,,,,
賀茂行幸,4,賀茂行幸,,,,,,
通油町,4,日本橋大伝馬町,https://ja.wikipedia.org/wiki/日本橋大伝馬町,Place,OK,,,
松栄堂彫兼,4,松栄堂彫兼,,,,,,
上野戦争,4,上野戦争,https://ja.wikipedia.org/wiki/上野戦争,Event,OK,,,
北越戦争,4,北越戦争,https://ja.wikipedia.org/wiki/北越戦争,Event,OK,,,
再改横浜風景,4,再改横浜風景,,,,,,
鳥羽伏見戦争,4,鳥羽伏見戦争,,,,,,
仁徳天皇難波都御所江御行幸之図,4,仁徳天皇難波都御所江御行幸之図,,,,,,
芳年印,4,芳年印,,,,,,
節婦,4,節婦,,,,,,
善行,4,善行,https://ja.wikipedia.org/wiki/善行,Keyword,OK,,,
徳川斉昭,3,徳川斉昭,https://ja.wikipedia.org/wiki/徳川斉昭,Person,OK,,,
辻岡屋,3,辻岡屋,,,,,,
午四,3,午四,,,,,,
日傭取り,3,日雇い,https://ja.wikipedia.org/wiki/日雇い,Keyword,OK,,,
慶応３年７月(18670070550),3,慶応３年７月(18670070550),,,,,,
松平容保,3,松平容保,https://ja.wikipedia.org/wiki/松平容保,Person,OK,,,
戯筆,3,戯筆,,,,,,
松嶋彫政,3,松嶋彫政,,,,,,
明治元年２月(18680020550),3,明治元年２月(18680020550),,,,,,
辰二改,3,辰二改,,,,,,
子をとろ子をとろ,3,子をとろ子をとろ,,,,,,
狂斎,3,狂斎,,,,,,
戯画,3,戯画,https://ja.wikipedia.org/wiki/戯画,Keyword,OK,,,
座頭,3,座頭,https://ja.wikipedia.org/wiki/座頭,Keyword,OK,,,
よし藤画,3,よし藤画,,,,,,
蒸気船,3,蒸気船,https://ja.wikipedia.org/wiki/蒸気船,Keyword,OK,,,
あれどもよめず,3,あれどもよめず,,,,,,
彫長,3,彫長,,,,,,
英屋文蔵,3,英屋文蔵,,,,,,
貸本屋,3,貸本,https://ja.wikipedia.org/wiki/貸本,Keyword,OK,,,
芸人,3,芸人,https://ja.wikipedia.org/wiki/芸人,Keyword,OK,,,
清水屋直次郎,3,清水屋直次郎,https://ja.wikipedia.org/wiki/清水屋直次郎,Keyword,OK,,,
寄席,3,寄席,https://ja.wikipedia.org/wiki/寄席,Keyword,OK,,,
棒ねじり,3,棒ねじり,,,,,,
右,3,左右,https://ja.wikipedia.org/wiki/左右,Keyword,OK,,,
左,3,左右,https://ja.wikipedia.org/wiki/左右,Keyword,OK,,,
水戸,3,水戸,https://ja.wikipedia.org/wiki/水戸,Keyword,OK,,,
池田,3,池田,https://ja.wikipedia.org/wiki/池田,Keyword,変更,池田氏,https://ja.wikipedia.org/wiki/池田氏,
相撲,3,相撲,https://ja.wikipedia.org/wiki/相撲,Keyword,OK,,,
歌沢師匠,3,歌沢師匠,,,,,,
の歌あり,3,の歌あり,,,,,,
慶応元年５月(18650050550),3,慶応元年５月(18650050550),,,,,,
丑五改,3,丑五改,,,,,,
彫栄,3,彫栄,,,,,,
藤岡屋慶次郎,3,藤岡屋慶次郎,https://ja.wikipedia.org/wiki/藤岡屋慶次郎,Keyword,OK,,,
一勇斎国芳画印,3,一勇斎国芳画印,,,,,,
弘化４〜嘉永５年(18520550550),3,弘化４〜嘉永５年(18520550550),,,,,,
玉屋惣助,3,玉屋惣助,https://ja.wikipedia.org/wiki/玉屋惣助,Keyword,OK,,,
玉惣,3,玉惣,,,,,,
一英斎芳艶画印,3,一英斎芳艶画印,,,,,,
一勇斎国芳戯画印,3,一勇斎国芳戯画印,,,,,,
嘉永２年カ(18490550551),3,嘉永２年カ(18490550551),,,,,,
明治元年１１月(18680110550),3,明治元年１１月(18680110550),,,,,,
雲峰山人筆記,3,雲峰山人筆記,,,,,,
巳正改,3,巳正改,,,,,,
程ヶ谷,3,程ヶ谷宿,https://ja.wikipedia.org/wiki/程ヶ谷宿,Keyword,OK,,,
戸塚,3,戸塚,https://ja.wikipedia.org/wiki/戸塚,Keyword,変更,,,Place
藤沢,3,藤沢,https://ja.wikipedia.org/wiki/藤沢,Keyword,変更,,,Place
平塚,3,平塚,https://ja.wikipedia.org/wiki/平塚,Keyword,変更,,,Place
小田原,3,小田原,https://ja.wikipedia.org/wiki/小田原,Keyword,変更,,,Place
沼津,3,沼津,https://ja.wikipedia.org/wiki/沼津,Keyword,変更,,,Place
蒲原,3,蒲原,https://ja.wikipedia.org/wiki/蒲原,Keyword,変更,,,Place
由井,3,由比,https://ja.wikipedia.org/wiki/由比,Keyword,変更,,,Place
興津,3,興津,https://ja.wikipedia.org/wiki/興津,Keyword,変更,,,Place
江尻,3,江尻,https://ja.wikipedia.org/wiki/江尻,Keyword,変更,,,Place
岡部,3,岡部,https://ja.wikipedia.org/wiki/岡部,Keyword,変更,,,Place
藤枝,3,藤枝,,,,,,
島田,3,島田,https://ja.wikipedia.org/wiki/島田,Keyword,変更,,,Place
金谷,3,金谷,https://ja.wikipedia.org/wiki/金谷,Keyword,変更,,,Place
日坂,3,日坂宿,https://ja.wikipedia.org/wiki/日坂宿,Keyword,OK,,,
掛川,3,掛川,https://ja.wikipedia.org/wiki/掛川,Keyword,変更,掛川宿,,
袋井,3,袋井,https://ja.wikipedia.org/wiki/袋井,Keyword,変更,袋井宿,,
見附,3,見付,https://ja.wikipedia.org/wiki/見付,Keyword,OK,,,
浜松,3,浜松,https://ja.wikipedia.org/wiki/浜松,Keyword,変更,浜松宿,,
舞坂,3,舞阪宿,https://ja.wikipedia.org/wiki/舞阪宿,Keyword,OK,,,
荒井,3,荒井,https://ja.wikipedia.org/wiki/荒井,Keyword,変更,新居宿,,
白須賀,3,白須賀,,,,,,
御油,3,御油,,,,,,
赤坂,3,赤坂,https://ja.wikipedia.org/wiki/赤坂,Keyword,変更,赤坂宿,,
